id,rating,genre,theater_date,box_office,runtime,studio
357,PG,Action and Adventure|Animation|Comedy|Kids and Family,"Nov 20, 2009",42194060.0,91.0,Sony Pictures/TriStar Pictures
1435,PG-13,Comedy,"Feb 8, 2008",42168445.0,114.0,Universal Pictures
1945,PG,Comedy,"Apr 13, 2012",41800000.0,92.0,20th Century Fox
1677,PG,Comedy|Drama|Kids and Family,"Sep 19, 2003",41407470.0,107.0,New Line Cinema
10,PG-13,Comedy,"Jan 11, 2002",41032915.0,82.0,Paramount Pictures
1598,PG-13,Action and Adventure|Drama|Mystery and Suspense,"Oct 17, 2008",40632110.0,100.0,20th Century Fox
468,PG-13,Comedy|Drama,"Sep 14, 2001",39697363.0,115.0,Paramount Pictures
1785,R,Action and Adventure|Horror|Mystery and Suspense,"Mar 15, 2002",39532308.0,100.0,Columbia Tristar Pictures
1542,R,Horror|Mystery and Suspense,"Oct 6, 2006",39418953.0,84.0,New Line Cinema
771,PG-13,Comedy,"Jan 25, 2008",38200000.0,84.0,20th Century Fox
1690,PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,"Nov 27, 2002",38120554.0,95.0,Buena Vista Distribution Compa
1517,PG,Comedy|Television,"Oct 13, 2006",37442180.0,115.0,Universal Pictures
158,PG-13,Drama|Sports and Fitness,"Dec 11, 2009",37431431.0,134.0,Warner Bros. Pictures
281,R,Comedy|Western,"May 30, 2014",37331031.0,116.0,Universal Pictures
1962,PG-13,Comedy|Drama,"Sep 12, 2003",36873198.0,116.0,Warner Bros. Pictures
1006,R,Action and Adventure|Drama|Mystery and Suspense,"Sep 14, 2007",36800000.0,122.0,Warner Bros. Pictures
572,PG-13,Action and Adventure|Comedy|Drama,"Jan 17, 2003",35764982.0,91.0,Sony Pictures
77,PG-13,Comedy|Drama,"Jul 1, 2011",35565975.0,99.0,Universal Pictures
1682,PG-13,Drama,"Feb 9, 2018",35003216.0,120.0,
267,R,Comedy,"Sep 21, 2007",35000629.0,101.0,Lionsgate Films
1859,R,Action and Adventure|Drama,"Feb 28, 2003",34600000.0,99.0,Warner Bros.
976,R,Drama,"Jan 9, 2004",34187787.0,109.0,Newmarket Film Group
1996,R,Action and Adventure|Horror|Mystery and Suspense,"Aug 18, 2006",33886034.0,106.0,New Line Cinema
1561,R,Comedy,"Aug 23, 2013",33408732.0,109.0,Focus Features
1644,PG-13,Action and Adventure|Drama|Western,"Jan 1, 1985",33200000.0,133.0,
338,PG-13,Drama|Mystery and Suspense,"Oct 22, 2010",32741596.0,126.0,Warner Bros. Pictures
1844,R,Comedy|Drama,"Oct 11, 2004",32700000.0,97.0,Paramount Pictures
563,PG-13,Comedy|Drama|Romance,"Feb 4, 2005",32000000.0,89.0,Universal Pictures
1716,NR,Drama,"Feb 6, 1992",32000000.0,113.0,
1545,PG-13,Drama|Musical and Performing Arts,"Apr 24, 2009",31670931.0,117.0,Dreamworks/Paramount
981,R,Comedy,"Dec 21, 2001",31155435.0,94.0,Universal Pictures
1009,PG-13,Comedy|Drama|Romance,"Dec 17, 2010",30212620.0,121.0,Columbia Pictures
1463,R,Comedy,"Aug 24, 2001",29885424.0,104.0,Dimension Films
973,R,Action and Adventure|Horror|Science Fiction and Fantasy,"Oct 21, 2005",28031250.0,104.0,Universal Pictures
1523,PG-13,Comedy,"Aug 18, 2017",27696504.0,119.0,Fingerprint Releasing / Bleecker Street
848,R,Drama|Horror|Mystery and Suspense,"Feb 9, 2007",27503677.0,121.0,MGM
1645,R,Drama|Mystery and Suspense,"Aug 12, 2016",26973524.0,102.0,Film 44
590,PG-13,Drama|Romance,"Feb 29, 2008",26800000.0,115.0,Sony Pictures/Columbia
322,R,Horror,"Oct 16, 2015",25957696.0,119.0,Universal Pictures
1980,PG-13,Action and Adventure|Science Fiction and Fantasy,"Sep 30, 2005",25335935.0,119.0,Universal Pictures
816,PG,Action and Adventure|Animation|Comedy|Kids and Family,"Sep 17, 2010",25077977.0,88.0,Lionsgate Films
453,PG,Action and Adventure|Kids and Family|Science Fiction and Fantasy,"Jul 31, 2009",24967943.0,86.0,20th Century Fox
815,R,Drama,"Dec 15, 2008",22877808.0,119.0,Paramount Vantage
1321,PG-13,Drama,"Aug 1, 2014",22838662.0,138.0,Universal Pictures
159,PG-13,Comedy,"Sep 3, 2003",22715908.0,98.0,Paramount Pictures
482,PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,"Mar 11, 2011",21379315.0,88.0,Walt Disney Pictures
249,R,Action and Adventure|Drama,"Jun 23, 2006",21318194.0,97.0,Focus Features
542,R,Action and Adventure|Mystery and Suspense,"Oct 5, 2001",21254983.0,96.0,20th Century Fox
1608,PG-13,Action and Adventure|Drama,"Dec 17, 2004",20900803.0,112.0,20th Century Fox
1758,PG-13,Action and Adventure|Drama,"Dec 17, 2004",20900803.0,112.0,20th Century Fox
25,PG-13,Action and Adventure|Drama|Science Fiction and Fantasy,"Dec 25, 2013",20518224.0,127.0,Universal Pictures
